prompt,label,domain
code: Write a Python function to check if the number 65 is prime.,0,code
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 61.,1,code
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 45.,0,code
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",0,logic
extract: Retrieve all names and emails from this list: '1. Jessica - jessica@example.com; 2. Alice - alice@example.org'.,1,gen
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 53),1,logic
code: Write a Python function to check if the number 169 is prime.,0,code
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about renaissance art.",1,gen
"calculate: Evaluate the definite integral of x * sin(52x) from 0 to pi, showing all integration by parts steps.",0,math
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 6).,0,json
"translate: Translate the following formal business email to Chinese: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 16)",1,logic
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 60.,0,code
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,1,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,0,gen
"summarize: Write a single-sentence summary of this paragraph about quantum physics: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",0,gen
translate: Translate this philosophical text to Spanish: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',1,translate
"calculate: Evaluate the definite integral of x * sin(54x) from 0 to pi, showing all integration by parts steps.",0,math
calculate: Solve this quadratic equation: x^2 + 99x - 132 = 0 and find both real roots.,0,math
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound EmmaX melting at 980C +/- 1.5C, while compound EmmaY melted at 1715C +/- 2.0C.'",1,gen
translate: Translate this philosophical text to Portuguese: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',1,translate
code: Write a short haiku about macroeconomics.,1,gen
translate: Translate this philosophical text to Japanese: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',0,translate
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",1,gen
code: Draft a four-stanza poem about the concept of organic chemistry and the flow of time.,1,gen
"calculate: Evaluate the definite integral of x * sin(53x) from 0 to pi, showing all integration by parts steps.",0,math
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 38).,1,json
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",0,gen
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",1,logic
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 51),0,logic
calculate: Solve this basic linear equation: 4x + 10 = 40,1,math
extract: Retrieve all names and emails from this list: '1. Emma - emma@example.com; 2. Alice - alice@example.org'.,1,gen
extract: Retrieve all names and emails from this list: '1. Robert - robert@example.com; 2. Alice - alice@example.org'.,1,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,1,gen
"summarize: Write a single-sentence summary of this paragraph about organic chemistry: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",1,gen
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 35)",1,logic
code: Draft a four-stanza poem about the concept of clean energy and the flow of time.,0,gen
"summarize: Write a single-sentence summary of this paragraph about organic chemistry: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",1,gen
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 42),0,logic
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 35.,0,code
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 41),1,logic
code: Draft a four-stanza poem about the concept of macroeconomics and the flow of time.,0,gen
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 49),0,logic
"calculate: Evaluate the definite integral of x * sin(46x) from 0 to pi, showing all integration by parts steps.",1,math
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound AlexX melting at 1120C +/- 1.5C, while compound AlexY melted at 1960C +/- 2.0C.'",0,gen
"summarize: Write a single-sentence summary of this paragraph about macroeconomics: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",1,gen
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 13)",1,logic
"translate: Translate the following formal business email to Arabic: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 30)",1,logic
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",0,logic
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 42).",1,json
"summarize: Write a single-sentence summary of this paragraph about inflation rates: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",1,gen
extract: Find the city in this text: 'We are traveling to Berlin next week.',0,gen
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 3)",1,logic
calculate: Solve this basic linear equation: 26x + 65 = 260,1,math
translate: Translate this philosophical text to Portuguese: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',0,translate
"translate: Translate the following formal business email to Portuguese: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
"calculate: Evaluate the definite integral of x * sin(43x) from 0 to pi, showing all integration by parts steps.",0,math
"calculate: Evaluate the definite integral of x * sin(44x) from 0 to pi, showing all integration by parts steps.",1,math
translate: Translate this philosophical text to French: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',0,translate
"calculate: Evaluate the definite integral of x * sin(56x) from 0 to pi, showing all integration by parts steps.",0,math
summarize: Shorten this short statement about space exploration: 'The quick development of technologies has changed our daily routines in many unexpected ways.',0,gen
explain: What is the capital city of Beijing's country?,1,gen
code: Write a Python function to check if the number 260 is prime.,0,code
"translate: Translate the following formal business email to Korean: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
"summarize: Write a comprehensive executive summary of this article about organic chemistry: 'Organic chemistry has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 26).,1,json
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 32).,0,json
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 50.,0,code
"translate: Translate this short phrase to Korean: 'Good morning, where is the hotel?'",1,translate
calculate: Solve this basic linear equation: 14x + 35 = 140,1,math
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 38.,0,code
extract: Find the city in this text: 'We are traveling to Cairo next week.',1,gen
"summarize: Write a comprehensive executive summary of this article about artificial intelligence: 'Artificial intelligence has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",0,gen
"summarize: Write a single-sentence summary of this paragraph about inflation rates: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",0,gen
summarize: Shorten this short statement about clean energy: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 34)",1,logic
code: Write a short haiku about clean energy.,1,gen
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 34.,0,code
calculate: Solve this basic linear equation: 40x + 100 = 400,0,math
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 50).",1,json
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 3).,1,json
code: Write a Python function to check if the number 156 is prime.,1,code
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 7)",0,logic
summarize: Shorten this short statement about artificial intelligence: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
extract: Find the city in this text: 'We are traveling to Tokyo next week.',1,gen
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 39)",0,logic
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 15),1,logic
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 15)",0,logic
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 17),0,logic
